station #,packets_transmitted,collisions,collision_prob
0,685,148,0.21605839416058395
1,645,153,0.2372093023255814
2,338,77,0.22781065088757396
3,352,74,0.21022727272727273
4,486,121,0.24897119341563786
5,427,121,0.28337236533957844
6,544,120,0.22058823529411764
7,416,106,0.2548076923076923
8,872,174,0.19954128440366972
9,455,94,0.20659340659340658
10,423,97,0.2293144208037825
11,509,132,0.2593320235756385
12,242,60,0.24793388429752067
13,405,79,0.19506172839506172
14,579,155,0.26770293609671847
15,403,73,0.18114143920595532
16,191,38,0.19895287958115182
17,248,57,0.22983870967741934
18,600,136,0.22666666666666666
19,481,94,0.19542619542619544
20,548,116,0.2116788321167883
21,211,48,0.22748815165876776
22,372,80,0.21505376344086022
23,238,52,0.2184873949579832
24,368,77,0.20923913043478262
25,442,82,0.18552036199095023
26,294,60,0.20408163265306123
27,491,129,0.26272912423625255
28,781,173,0.22151088348271447
29,687,159,0.2314410480349345
30,208,46,0.22115384615384615
31,625,147,0.2352
32,731,173,0.23666210670314639
33,751,156,0.20772303595206393
34,761,160,0.2102496714848883
35,844,185,0.21919431279620852
36,684,153,0.2236842105263158
37,277,96,0.34657039711191334
38,585,120,0.20512820512820512
39,297,73,0.24579124579124578
40,187,42,0.22459893048128343
41,607,140,0.23064250411861614
42,555,153,0.2756756756756757
43,337,78,0.2314540059347181
44,725,175,0.2413793103448276
45,544,115,0.2113970588235294
46,568,129,0.22711267605633803
47,551,121,0.21960072595281308
48,593,138,0.2327150084317032
49,367,106,0.2888283378746594
50,552,113,0.20471014492753623
51,259,79,0.305019305019305
52,760,166,0.21842105263157896
53,680,151,0.22205882352941175
54,662,138,0.2084592145015106
55,776,170,0.2190721649484536
56,579,129,0.22279792746113988
57,661,138,0.2087745839636914
58,164,47,0.2865853658536585
59,481,92,0.19126819126819128
60,404,95,0.23514851485148514
61,504,114,0.2261904761904762
62,391,78,0.19948849104859334
63,707,142,0.20084865629420084
64,214,41,0.19158878504672897
65,239,53,0.2217573221757322
66,204,42,0.20588235294117646
67,431,97,0.22505800464037123
68,426,82,0.19248826291079812
69,380,85,0.2236842105263158
70,741,183,0.24696356275303644
71,653,120,0.18376722817764166
72,218,41,0.18807339449541285
73,381,86,0.22572178477690288
74,749,146,0.19492656875834447
75,593,117,0.1973018549747049
76,518,89,0.1718146718146718
77,510,104,0.20392156862745098
78,538,138,0.25650557620817843
79,285,69,0.24210526315789474
80,283,71,0.2508833922261484
81,518,129,0.24903474903474904
82,491,123,0.2505091649694501
83,303,84,0.27722772277227725
84,443,98,0.22121896162528218
85,783,162,0.20689655172413793
86,429,89,0.20745920745920746
87,619,148,0.23909531502423265
88,623,139,0.2231139646869984
89,717,162,0.22594142259414227
90,353,78,0.22096317280453256
91,629,139,0.22098569157392686
92,198,49,0.2474747474747475
93,405,58,0.14320987654320988
94,669,139,0.2077727952167414
95,841,183,0.21759809750297265
96,680,147,0.2161764705882353
97,494,119,0.2408906882591093
98,687,139,0.20232896652110627
99,460,121,0.26304347826086955
100,331,83,0.25075528700906347
101,259,55,0.21235521235521235
102,740,160,0.21621621621621623
103,694,158,0.2276657060518732
104,233,36,0.15450643776824036
105,218,43,0.19724770642201836
106,296,56,0.1891891891891892
107,303,76,0.2508250825082508
108,302,56,0.18543046357615894
109,613,134,0.21859706362153344
110,183,38,0.20765027322404372
111,216,36,0.16666666666666666
112,714,162,0.226890756302521
113,646,152,0.23529411764705882
114,446,89,0.19955156950672645
115,657,136,0.2070015220700152
116,235,52,0.22127659574468084
117,225,54,0.24
118,392,79,0.20153061224489796
119,656,140,0.21341463414634146
120,628,131,0.2085987261146497
121,669,138,0.2062780269058296
122,520,112,0.2153846153846154
123,640,149,0.2328125
124,310,67,0.2161290322580645
125,337,75,0.22255192878338279
126,727,156,0.21458046767537828
127,663,132,0.19909502262443438
128,189,41,0.21693121693121692
129,179,34,0.18994413407821228
130,511,124,0.24266144814090018
131,527,113,0.2144212523719165
132,468,109,0.2329059829059829
133,575,112,0.19478260869565217
134,392,91,0.23214285714285715
135,370,82,0.22162162162162163
136,606,144,0.2376237623762376
137,464,93,0.20043103448275862
138,788,174,0.22081218274111675
139,598,133,0.22240802675585283
140,564,128,0.22695035460992907
141,496,134,0.2701612903225806
142,348,85,0.2442528735632184
143,725,166,0.2289655172413793
144,585,121,0.20683760683760682
