station #,packets_transmitted,collisions,collision_prob
145,610,126,0.20655737704918034
146,483,96,0.19875776397515527
147,652,136,0.2085889570552147
148,749,173,0.23097463284379172
149,269,72,0.26765799256505574
150,741,180,0.242914979757085
151,338,72,0.21301775147928995
152,595,124,0.20840336134453782
153,349,71,0.2034383954154728
154,752,179,0.23803191489361702
155,316,68,0.21518987341772153
156,550,132,0.24
157,287,53,0.18466898954703834
158,285,63,0.22105263157894736
159,399,86,0.21553884711779447
160,455,97,0.21318681318681318
161,334,83,0.24850299401197604
162,408,95,0.23284313725490197
163,344,76,0.22093023255813954
164,678,136,0.20058997050147492
165,605,134,0.22148760330578512
166,214,46,0.21495327102803738
167,177,33,0.1864406779661017
168,426,89,0.20892018779342722
169,317,84,0.26498422712933756
170,289,60,0.20761245674740483
171,552,108,0.1956521739130435
172,395,88,0.22278481012658227
173,611,143,0.23404255319148937
174,516,121,0.23449612403100775
175,700,137,0.1957142857142857
176,427,114,0.26697892271662765
177,534,101,0.1891385767790262
178,345,72,0.20869565217391303
179,535,130,0.24299065420560748
180,219,45,0.2054794520547945
181,668,137,0.20508982035928144
182,340,76,0.2235294117647059
183,394,82,0.20812182741116753
184,634,141,0.222397476340694
185,617,134,0.2171799027552674
186,203,46,0.22660098522167488
187,436,109,0.25
188,163,33,0.20245398773006135
189,747,155,0.2074966532797858
190,386,78,0.20207253886010362
191,174,39,0.22413793103448276
192,399,62,0.15538847117794485
193,382,101,0.2643979057591623
194,141,41,0.2907801418439716
195,807,195,0.241635687732342
196,435,98,0.22528735632183908
197,191,43,0.225130890052356
198,746,142,0.1903485254691689
199,513,123,0.23976608187134502
200,698,162,0.23209169054441262
201,254,45,0.17716535433070865
202,770,169,0.21948051948051947
203,329,68,0.2066869300911854
204,533,131,0.24577861163227016
205,678,156,0.23008849557522124
206,477,114,0.2389937106918239
207,518,102,0.1969111969111969
208,669,149,0.2227204783258595
209,187,43,0.22994652406417113
210,461,114,0.2472885032537961
211,262,52,0.1984732824427481
212,297,61,0.2053872053872054
213,362,92,0.2541436464088398
214,205,47,0.22926829268292684
215,506,124,0.2450592885375494
216,690,171,0.24782608695652175
217,482,98,0.2033195020746888
218,317,71,0.22397476340694006
219,471,125,0.2653927813163482
220,815,180,0.22085889570552147
221,289,50,0.17301038062283736
222,717,187,0.2608089260808926
223,676,171,0.2529585798816568
224,589,132,0.22410865874363328
225,196,43,0.2193877551020408
226,594,132,0.2222222222222222
227,775,194,0.2503225806451613
228,679,151,0.22238586156111928
229,578,151,0.26124567474048443
230,782,159,0.20332480818414322
231,781,174,0.22279129321382843
232,478,96,0.200836820083682
233,284,68,0.23943661971830985
234,812,188,0.2315270935960591
235,711,155,0.2180028129395218
236,446,99,0.2219730941704036
237,799,185,0.23153942428035043
238,393,84,0.21374045801526717
239,613,128,0.20880913539967375
240,633,148,0.23380726698262244
241,659,165,0.2503793626707132
242,656,157,0.23932926829268292
243,487,109,0.22381930184804927
244,231,50,0.21645021645021645
245,427,93,0.21779859484777517
246,699,163,0.23319027181688126
247,199,56,0.2814070351758794
248,682,153,0.22434017595307917
249,206,52,0.2524271844660194
250,473,99,0.20930232558139536
251,578,115,0.19896193771626297
252,608,132,0.21710526315789475
253,173,58,0.3352601156069364
254,730,166,0.2273972602739726
255,592,162,0.27364864864864863
256,719,152,0.2114047287899861
257,537,135,0.25139664804469275
258,515,108,0.20970873786407768
259,744,167,0.22446236559139784
260,166,63,0.3795180722891566
261,229,57,0.24890829694323144
262,327,83,0.25382262996941896
263,492,94,0.1910569105691057
264,526,127,0.2414448669201521
265,201,37,0.18407960199004975
266,374,68,0.18181818181818182
267,508,93,0.1830708661417323
268,220,39,0.17727272727272728
269,570,108,0.18947368421052632
270,595,142,0.23865546218487396
271,734,151,0.20572207084468666
272,628,117,0.18630573248407642
273,612,124,0.20261437908496732
274,203,55,0.270935960591133
275,414,92,0.2222222222222222
276,434,131,0.30184331797235026
277,692,149,0.2153179190751445
278,685,135,0.19708029197080293
279,281,65,0.2313167259786477
280,344,58,0.1686046511627907
281,419,84,0.20047732696897375
282,787,181,0.22998729351969505
283,795,174,0.2188679245283019
284,763,147,0.1926605504587156
285,273,54,0.1978021978021978
286,512,127,0.248046875
287,613,148,0.24143556280587275
288,379,78,0.20580474934036938
289,496,102,0.2056451612903226
290,236,57,0.24152542372881355
291,318,53,0.16666666666666666
292,524,107,0.20419847328244276
293,423,83,0.19621749408983452
294,511,99,0.19373776908023482
295,382,84,0.2198952879581152
296,431,100,0.23201856148491878
297,309,58,0.18770226537216828
298,649,151,0.23266563944530047
299,515,113,0.21941747572815534
300,786,179,0.227735368956743
301,503,137,0.27236580516898606
302,440,80,0.18181818181818182
303,386,84,0.21761658031088082
304,563,124,0.2202486678507993
305,645,161,0.2496124031007752
306,514,125,0.24319066147859922
307,174,39,0.22413793103448276
308,534,123,0.2303370786516854
309,473,99,0.20930232558139536
310,753,143,0.1899070385126162
311,527,115,0.21821631878557876
312,334,68,0.20359281437125748
313,611,151,0.24713584288052373
314,593,135,0.22765598650927488
315,262,67,0.25572519083969464
316,320,77,0.240625
317,384,84,0.21875
318,341,74,0.21700879765395895
319,301,62,0.2059800664451827
320,751,179,0.23834886817576564
321,453,81,0.17880794701986755
322,429,85,0.19813519813519814
323,578,114,0.1972318339100346
324,501,115,0.22954091816367264
325,193,48,0.24870466321243523
326,249,71,0.285140562248996
327,587,126,0.21465076660988075
328,241,50,0.2074688796680498
329,329,89,0.270516717325228
330,680,122,0.17941176470588235
331,514,102,0.19844357976653695
332,223,37,0.16591928251121077
333,289,46,0.15916955017301038
334,368,68,0.18478260869565216
335,158,50,0.31645569620253167
336,766,154,0.2010443864229765
337,250,46,0.184
338,260,54,0.2076923076923077
339,495,96,0.19393939393939394
340,211,58,0.27488151658767773
341,601,132,0.21963394342762063
342,679,133,0.1958762886597938
343,658,127,0.19300911854103345
344,502,103,0.2051792828685259
345,368,83,0.22554347826086957
346,677,144,0.21270310192023634
347,183,55,0.3005464480874317
348,705,139,0.1971631205673759
349,257,63,0.245136186770428
350,602,116,0.19269102990033224
351,767,198,0.258148631029987
352,497,119,0.23943661971830985
353,301,67,0.22259136212624583
354,513,121,0.23586744639376217
355,642,144,0.22429906542056074
356,635,141,0.2220472440944882
357,275,67,0.24363636363636362
358,455,92,0.2021978021978022
359,184,42,0.22826086956521738
360,283,58,0.2049469964664311
361,310,62,0.2
362,311,79,0.2540192926045016
363,666,150,0.22522522522522523
364,188,38,0.20212765957446807
365,165,41,0.24848484848484848
366,601,123,0.20465890183028287
367,635,140,0.2204724409448819
368,220,54,0.24545454545454545
369,331,84,0.2537764350453172
370,245,50,0.20408163265306123
371,715,169,0.23636363636363636
372,655,148,0.22595419847328244
373,750,180,0.24
374,547,104,0.19012797074954296
375,583,140,0.24013722126929674
376,482,97,0.2012448132780083
377,273,68,0.2490842490842491
378,230,46,0.2
379,473,104,0.21987315010570824
380,754,168,0.22281167108753316
381,495,106,0.21414141414141413
382,200,41,0.205
383,671,166,0.2473919523099851
384,344,81,0.23546511627906977
385,172,48,0.27906976744186046
386,725,175,0.2413793103448276
387,681,153,0.22466960352422907
388,659,162,0.24582701062215478
389,654,146,0.22324159021406728
390,691,145,0.2098408104196816
391,506,87,0.17193675889328064
392,725,166,0.2289655172413793
393,332,62,0.18674698795180722
394,245,52,0.21224489795918366
395,455,108,0.23736263736263735
396,351,82,0.2336182336182336
397,751,145,0.19307589880159787
398,485,114,0.23505154639175257
399,727,152,0.20907840440165062
400,843,164,0.19454329774614473
401,737,194,0.26322930800542743
402,731,178,0.24350205198358413
403,756,166,0.21957671957671956
404,520,104,0.2
405,387,73,0.18863049095607234
406,192,48,0.25
407,779,179,0.22978177150192555
408,415,79,0.19036144578313252
409,372,101,0.271505376344086
410,274,54,0.19708029197080293
411,642,146,0.22741433021806853
412,712,174,0.2443820224719101
413,245,58,0.23673469387755103
414,701,179,0.2553495007132668
415,684,140,0.2046783625730994
416,572,134,0.23426573426573427
417,346,78,0.2254335260115607
418,230,46,0.2
419,502,115,0.2290836653386454
420,753,172,0.22841965471447542
421,484,129,0.2665289256198347
422,327,75,0.22935779816513763
423,422,101,0.23933649289099526
424,734,183,0.24931880108991825
425,693,141,0.20346320346320346
426,331,79,0.23867069486404835
427,448,114,0.2544642857142857
428,515,91,0.1766990291262136
429,199,45,0.22613065326633167
430,757,183,0.24174372523117568
431,681,141,0.20704845814977973
432,410,95,0.23170731707317074
433,197,49,0.24873096446700507
434,775,152,0.19612903225806452
435,213,41,0.19248826291079812
436,543,119,0.21915285451197053
437,309,63,0.20388349514563106
438,640,127,0.1984375
439,333,78,0.23423423423423423
440,159,45,0.2830188679245283
441,356,83,0.23314606741573032
442,838,204,0.24343675417661098
443,202,48,0.2376237623762376
444,576,125,0.2170138888888889
445,264,66,0.25
446,693,170,0.2453102453102453
447,433,81,0.18706697459584296
448,762,168,0.2204724409448819
449,382,68,0.17801047120418848
450,518,97,0.18725868725868725
451,201,47,0.23383084577114427
452,648,143,0.22067901234567902
453,586,134,0.22866894197952217
454,271,43,0.15867158671586715
455,425,90,0.21176470588235294
456,426,87,0.20422535211267606
457,572,155,0.270979020979021
458,495,105,0.21212121212121213
459,272,52,0.19117647058823528
460,708,157,0.22175141242937854
461,585,124,0.21196581196581196
462,344,85,0.24709302325581395
463,250,66,0.264
464,243,54,0.2222222222222222
465,281,48,0.1708185053380783
466,793,161,0.2030264817150063
467,262,53,0.20229007633587787
468,443,99,0.2234762979683973
469,622,141,0.2266881028938907
470,301,74,0.24584717607973422
471,654,114,0.1743119266055046
472,794,172,0.21662468513853905
473,183,42,0.22950819672131148
474,518,107,0.20656370656370657
475,634,128,0.20189274447949526
476,367,93,0.25340599455040874
477,712,134,0.18820224719101122
478,402,81,0.20149253731343283
479,459,116,0.25272331154684097
480,544,97,0.17830882352941177
481,414,90,0.21739130434782608
482,610,149,0.2442622950819672
483,197,41,0.20812182741116753
484,409,82,0.20048899755501223
485,509,122,0.23968565815324164
486,824,200,0.24271844660194175
487,307,84,0.2736156351791531
488,339,84,0.24778761061946902
489,391,73,0.1867007672634271
490,650,152,0.23384615384615384
491,744,167,0.22446236559139784
492,575,135,0.23478260869565218
493,779,183,0.23491655969191272
494,409,85,0.2078239608801956
495,727,170,0.23383768913342504
496,338,87,0.257396449704142
497,546,110,0.20146520146520147
498,204,38,0.18627450980392157
499,560,124,0.22142857142857142
